android-adapter,1748,2
android-alertdialog,1745,1
android-animation,3386,1
android-annotations,342,2
android-arrayadapter,2983,2
android-assets,399,1
android-asynctask,10782,12
android-avd,239,2
android-build,442,5
android-button,1325,1
android-camera,4460,1
android-canvas,2822,1
android-cling,14,1
android-contentprovider,2303,1
android-cursoradapter,713,1
android-custom-view,1962,1
android-databinding,95,2
android-developer-api,112,1
android-edittext,7604,1
android-emulator,7508,47
android-emulator-plugin,24,15
android-espresso,688,8
android-facebook,515,1
android-file,639,2
android-fragmentactivity,1433,2
android-fragments,24334,29
android-glide,174,3
android-gradle,4010,48
android-gridview,1279,4
android-image,4045,16
android-imageview,2932,14
android-inflate,418,1
android-install-apk,287,1
android-instrumentation,115,1
android-intent,21784,5
android-keystore,291,1
android-layout,35862,18
android-library,1004,2
android-linearlayout,3228,1
android-lint,152,6
android-listfragment,1085,2
android-listview,15746,18
android-location,784,1
android-manifest,3443,3
android-maps-v2,924,3
android-maven-plugin,184,3
android-mediaplayer,2791,2
android-menu,843,2
android-navigation,573,1
android-ndk,8847,7
android-networking,588,1
android-pageradapter,263,2
android-permissions,908,1
android-proguard,269,0
android-recyclerview,1520,1
android-resources,1320,1
android-runonuithread,60,1
android-scrollview,915,1
android-sdcard,1156,1
android-sdk-tools,597,5
android-search,364,1
android-service,4005,0
android-source,1140,3
android-studio,21032,50
android-studio-2.1,0,0
android-support-library,2079,3
android-tabhost,2075,1
android-tabs,1009,2
android-testing,900,7
android-textview,2400,1
android-view,9486,21
android-viewholder,299,1
android-viewpager,6672,18
android-volley,2325,15
android-wear,1697,0
android-webview,4297,2
android-widget,5188,1
android-xml,1935,1
androidviewclient,141,2
androvm,6,1
angstrom-linux,105,1
angular-cache,23,17
angular-controller,94,0
angular-directive,558,1
angular-fullstack,167,6
angular-http,385,5
angular-local-storage,63,3
angular-material,1201,1
angular-promise,959,3
angular-providers,19,2
angular-resource,598,9
angular-services,507,3
angular-template,133,1
angular-translate,386,0
angular-ui,11207,14
angular-ui-grid,1094,2
angular-ui-router,5671,12
angular2,3384,3
angularfire,1258,1
angularjs,157767,418
