awt,5449,13
awtrobot,466,3
axis,4334,9
axis2,2176,8
axis2c,60,1
axon,2395,2
axshockwaveflash,53,1
az-application-insights,74,1
azk,26,1
azure,32523,252
azure-active-directory,908,2
azure-ad-b2c,28,0
azure-appfabric,55,8
azure-automation,88,1
azure-caching,186,34
azure-cli,24,2
azure-cloud-services,496,4
azure-compute-emulator,80,1
azure-deployment,134,1
azure-in-role-cache,13,3
azure-keyvault,31,1
azure-mobile-app,56,0
azure-powershell,280,2
azure-resource-manager,229,5
azure-sdk-.net,190,1
azure-service-fabric,157,2
azure-storage-blobs,1357,2
azure-storage-queues,73,1
azure-virtual-machine,506,11
azure-virtual-network,122,0
azure-vm-role,66,1
azure-web-app-service,40,0
azure-web-roles,1056,4
azure-web-sites,1784,5
azure-webjobs,630,2
azure-webjobssdk,167,1
azure-worker-roles,710,7
azure-xplat-cli,7,3
azuread,22,0
babel,1424,10
babel-node,0,0
babeljs,1175,9
babushka,2,1
back-stack,427,1
backbone.js,19461,15
backend,1854,10
backgrid,141,1
background,21416,25
background-process,1715,14
backgroundworker,2582,1
backport,49,1
backreference,225,1
backspace,225,1
backticks,160,2
backtrack-linux,35,1
backup,4542,49
backup-strategies,98,2
bacula,22,1
bad-request,248,1
badge,479,1
badimageformatexception,100,1
bamboo,694,53
bandwidth,830,2
bandwidth-throttling,96,1
banner,943,1
bar-chart,2118,1
barcode,2800,2
bare-metal,165,3
barrier,310,1
base,165985,417
base64,4815,10
baseadapter,1257,3
baseline,113,3
basex,177,1
bash,65529,917
bash-completion,169,1
basic-authentication,1824,12
batch-file,28979,179
batch-processing,2158,11
batman.js,49,1
bayesian,798,2
bayesian-networks,188,1
bayeux,53,1
bazaar,525,4
bazel,35,4
bcc,160,1
bcl,7045,12
bcrypt,897,17
bcrypt-ruby,81,5
bdd,1973,15
beagleboneblack,653,2
beaker,100,4
beaker-testing,8,1
beamer,175,0
bean-validation,1146,1
beanstalk,2679,275
beanstalkd,248,8
beautifulsoup,5692,7
beautify-ruby,4,1
beego,88,3
behat,655,33
behavior,2126,1
belongs-to,1654,1
benchmarking,1901,8
bento,6,2
berkeley-db-xml,21,1
berksfile,13,9
berkshelf,159,143
best-in-place,183,2
beta,1419,5
beta-testing,136,1
better-errors-gem,21,2
bfs,185,2
bigdata,3134,22
bigdecimal,993,1
biginsights,65,7
bigint,1331,2
bigsql,18,1
bigtable,291,2
bigtop,12,2
billing,2386,5
bin,68615,62
binaries,124,1
binary,17887,12
binary-indexed-tree,0,0
binary-repository,4,1
binary-search,3763,4
binaryfiles,1395,1
binaryreader,173,1
bind,41301,28
binding,35178,17
bing,3133,1
bintray,74,5
bioconductor,296,2
bioinformatics,1271,3
birt,1650,2
bisect,179,1
bison,1435,1
bit,41814,346
bit-manipulation,4379,1
bit-shift,943,3
bitbake,156,2
bitbucket,2617,181
bitbucket-api,93,0
bitbucket-pipelines,0,0
bitcoin,660,3
bitcoin-testnet,6,1
bitcoind,75,1
bitmap,13729,13
bitmapimage,722,1
