pyramid,1702,10
pyrax,16,4
pyrocms,391,1
pys60,69,1
pyserial,704,1
pysnmp,150,0
pyspark,1472,14
pyspark-sql,61,0
pysphere,13,1
pytables,415,1
pytesser,22,0
pytest-django,24,0
python,575688,2663
python-2.4,200,2
python-2.6,1016,3
python-2.7,45323,218
python-2.x,1111,2
python-3.3,1093,3
python-3.4,1838,16
python-3.5,429,2
python-3.x,30961,90
python-appium,18,0
python-behave,74,3
python-cffi,49,1
python-coverage,0,0
python-curses,80,1
python-daemon,79,1
python-db-api,63,1
python-decorators,456,1
python-elixir,78,1
python-embedding,123,0
python-green,5,1
python-imaging-library,2555,4
python-import,1224,8
python-internals,245,0
python-jedi,19,2
python-kafka,39,1
python-keyring,14,0
python-ldap,92,2
python-mode,125,1
python-module,611,0
python-multiprocessing,615,2
python-multithreading,771,3
python-paste,7,1
python-pika,21,0
python-requests,2954,19
python-shove,0,0
python-social-auth,304,5
python-sphinx,1331,4
python-telegram-bot,22,1
