xamarin,22747,49
xamarin-studio,946,3
xamarin.android,5085,9
xamarin.forms,2842,2
xamarin.ios,7783,19
xamarin.mac,220,1
xaml,42487,5
xampp,6586,76
xap,2111,3
xapian,95,1
xargs,562,2
xbmc,210,1
xbuild,849,9
xcache,88,2
xcarchive,14,3
xcconfig,45,1
xcode,122095,401
xcode-bots,119,7
xcode-instruments,304,2
xcode-plugin,9,1
xcode-server,83,2
xcode-ui-testing,429,6
xcode-workspace,51,1
xcode4,10818,16
xcode4.2,2037,1
xcode4.3,1107,1
xcode4.5,1712,5
xcode4.6,505,1
xcode5,4407,11
xcode6,7336,21
xcode6.1,426,3
xcode6.3,297,2
xcode7,4628,11
xcode7-beta6,65,1
xcodebuild,768,75
xcopy,530,2
xcrun,64,3
xctest,811,8
xctool,53,12
