git-fetch,140,1
git-filter-branch,241,2
git-flow,440,19
git-fork,137,2
git-lfs,44,2
git-log,370,3
git-merge,1303,5
git-p4,81,0
git-post-receive,170,9
git-pull,550,5
git-push,666,12
git-rebase,829,4
git-remote,414,5
git-repo,37,2
git-revert,181,1
git-review,20,1
git-rewrite-history,146,1
git-slave,8,2
git-stash,365,8
git-status,97,1
git-submodules,1306,47
git-subtree,278,4
git-svn,1571,10
git-tag,201,6
git-tf,172,2
git-tfs,118,1
git-workflow,95,2
gitattributes,92,0
gitblit,80,6
gitfs,5,5
githooks,793,28
github,18583,626
github-api,932,14
github-archive,14,1
github-enterprise,39,4
github-for-mac,159,1
github-for-windows,374,4
github-organizations,13,0
github-pages,829,2
gitignore,1203,15
gitlab,1943,180
gitlab-7,31,2
gitlab-8,0,0
gitlab-ci,195,50
gitlab-ci-runner,71,26
gitlab-omnibus,45,5
gitolite,558,19
gitorious,95,4
gitosis,204,6
gitweb,119,1
getaddrinfo,145,6
getchar,462,2
getcwd,50,1
getimagesize,146,1
getjson,1524,2
getline,955,2
getresource,209,2
getresponsestream,25,1
gets,5182,3
getstream-io,42,0
gettext,1237,2
getview,173,1
gevent,815,6
gevent-socketio,82,2
gfortran,968,1
ggplot2,11351,2
gh-unit,64,1
ghc,14487,11
ghc-mod,30,1
ghcjs,40,1
gherkin,326,3
ghost,1757,32
ghost-blog,227,18
ghost.py,57,1
ghostdriver,150,4
ghostscript,1171,3
ghprb,6,5
giant-swarm,2,2
gif,2725,5
gigaspaces,24,1
gii,173,1
gil,4097,18
gini,241,1
giphy-api,0,0
giraph,112,1
gis,17655,371
git,84687,3187
git-add,172,1
git-annex,33,1
git-bash,662,21
git-bisect,45,0
git-branch,1579,14
git-clone,513,14
git-commit,653,4
git-config,237,1
git-conflict-resolution,48,1
git-core,7,1
git-diff,463,1
git-extensions,239,1
git-fast-import,20,1
gitzilla,5,1
glade,560,1
glassfish,8288,90
glassfish-2.x,49,1
glassfish-3,1600,14
glassfish-4,858,13
glassfish-4.1,143,5
glassfish-4.1.1,8,0
glassfish-embedded,96,2
glfw,713,1
glge,8,1
gli-gem,0,0
glibc,1034,1
glide,201,3
glkit,399,1
glob,11102,20
global,9935,19
global-asax,895,2
global-state,19,1
global-variables,4583,6
globalization,1162,1
globalization-pipeline,4,1
globalize,201,2
globalize3,81,1
globals,398,1
glog,100,0
glreadpixels,159,1
glusterfs,71,9
gluu,0,0
glyphicons,491,2
gmail,6747,23
gmail-api,1015,2
gmail-imap,414,1
gmaps4rails,670,1
gmaven,63,1
gmaven-plugin,44,1
gmock,262,1
gmp,636,2
gnome,1243,6
gnome-terminal,258,2
gnu,9325,33
gnu-coreutils,105,1
gnu-make,1710,4
gnu-parallel,206,1
gnu-screen,444,5
gnupg,739,13
gnuradio,194,0
gnustep,184,1
gnutls,71,0
go,511362,2725
