language-translation,170,0
lanterna,11,1
lapack,576,1
lapply,949,1
laravel,44878,895
laravel-3,394,2
laravel-4,13629,140
laravel-4.2,57,0
laravel-5,12523,248
laravel-5.1,3274,42
laravel-5.2,876,18
laravel-dotenv,17,1
laravel-elixir,204,6
laravel-excel,55,0
laravel-facade,44,0
laravel-filesystem,8,1
laravel-migrations,54,2
laravel-pagination,33,1
laravel-routing,1193,4
laravel-seeding,38,2
laravel-socialite,89,1
laravel-spark,5,1
laravel-validation,182,2
large-data,1174,3
large-data-volumes,245,2
large-files,976,2
largenumber,235,1
lasagne,70,1
latency,809,2
latex,4771,1
launch-agent,28,1
launch4j,190,1
launchd,441,7
launchpad,97,0
lavalamp,69,1
law-of-demeter,98,1
layar,26,1
layer,30637,30
layout,78068,32
layout-manager,2060,1
lazy-evaluation,1511,6
lazy-initialization,372,1
lazy-loading,2821,3
lazy-propagation,10,1
lazylist,61,1
lcov,106,3
ld,139594,1717
ld-preload,107,0
ldap,7362,72
ldap-query,274,1
kirby,41,1
kissmetrics,21,1
kitchen,127,102
kite,585,5
kitematic,5,4
kivy,2141,4
kiwi,125,1
klocwork,43,2
kmip,5,1
kml,1978,2
knapsack-problem,474,5
knex.js,164,1
knife,484,307
knife-solo,29,27
knn,405,1
knockd,5,1
knockout.js,15666,9
knox-amazon-s3-client,68,1
ko.observablearray,235,1
koa,695,6
koala,382,2
kodi,101,2
kohana,2573,6
kohana-3,1046,1
koken,12,1
kong,16,2
kony,94,2
kotlin,784,2
kruskals-algorithm,114,1
ksh,3828,149
kube-dns,0,0
kubectl,0,0
kubernetes,1073,989
kubernetes-health-check,1,0
kue,61,1
kurento,90,2
kvm,744,32
kylin,13,1
label,14235,7
labels,1396,1
labview,622,0
lag,2320,4
lambda,12795,26
lamp,1668,44
lampp,143,7
lan,42322,172
landscape,1542,1
language-agnostic,7366,4
language-design,1025,1
language-features,568,2
